GPS Week,GPS TOW [s],Pos Mode,INS Mode,Hdg Mode,SVs Tracked,SVs Used,UTC Date,UTC Time,Lat [deg],Lon [deg],Alt Ellips [m],SOG [m/s],COG [deg],Hdg [deg],Horiz Vel [m/s],Vert Vel [m/s],Roll [deg],Pitch [deg],Yaw [deg],PDOP,HDOP,EHPE [m],EVPE [m],EHVE [m/s],EVVE [m/s],Baseline 2D [m],Baseline 3D [m],Corr. Age [s],Delta TOW [ms],2D Delta Pos [m],3D Delta Pos [m]
2111,414424.1,3,0,,,13,,,37.82853878,-122.2864018,-25.4784,5.62,74.883,,5.62,-0.07,,,,1.5,0.8,0.14,0.32,0.07,0.16,99569.877,99572.945,2.1,,,
2111,414424.2,3,0,,,13,,,37.82854004,-122.2863956,-25.4977,5.61,75.488,,5.61,-0.12,,,,1.5,0.8,0.14,0.33,0.07,0.16,99570.017,99573.085,1.2,100,0.561,0.561
2111,414424.3,3,0,,,13,,,37.82854133,-122.2863895,-25.5007,5.65,75.053,,5.65,-0.07,,,,1.5,0.8,0.14,0.33,0.07,0.16,99570.161,99573.229,1.3,100,0.561,0.561
2111,414424.4,3,0,,,13,,,37.82854265,-122.2863832,-25.5112,5.66,75.119,,5.66,-0.08,,,,1.5,0.8,0.14,0.3,0.07,0.16,99570.308,99573.376,1.4,100,0.566,0.566
2111,414424.5,3,0,,,13,,,37.82854392,-122.286377,-25.5143,5.67,75.505,,5.67,-0.03,,,,1.5,0.8,0.13,0.3,0.07,0.16,99570.45,99573.518,1.5,100,0.563,0.563
2111,414424.6,3,0,,,13,,,37.82854519,-122.2863708,-25.5179,5.68,75.758,,5.68,-0.04,,,,1.5,0.8,0.13,0.29,0.07,0.16,99570.59,99573.659,1.6,100,0.568,0.568
2111,414424.7,3,0,,,13,,,37.82854647,-122.2863646,-25.5123,5.67,75.371,,5.67,0.02,,,,1.5,0.8,0.14,0.31,0.07,0.16,99570.733,99573.801,1.7,100,0.564,0.564
2111,414424.8,3,0,,,13,,,37.82854781,-122.2863583,-25.5234,5.72,74.934,,5.72,-0.1,,,,1.5,0.8,0.15,0.34,0.07,0.16,99570.883,99573.951,1.8,100,0.572,0.572
2111,414424.9,3,0,,,13,,,37.82854908,-122.286352,-25.5157,5.73,75.632,,5.73,0.04,,,,1.5,0.8,0.14,0.33,0.07,0.16,99571.025,99574.094,0.9,100,0.566,0.566
2111,414425,3,0,,,13,,,37.8285504,-122.2863458,-25.5047,5.7,75.223,,5.7,0.05,,,,1.5,0.8,0.18,0.4,0.07,0.16,99571.172,99574.24,1,100,0.57,0.57
2111,414425.1,3,0,,,13,,,37.82855161,-122.2863395,-25.5085,5.72,76.078,,5.72,-0.03,,,,1.5,0.8,0.12,0.28,0.07,0.16,99571.307,99574.375,1.1,100,0.57,0.57
2111,414425.2,3,0,,,13,,,37.82855285,-122.2863331,-25.5128,5.75,76.278,,5.75,-0.02,,,,1.5,0.8,0.12,0.28,0.07,0.16,99571.444,99574.513,1.2,100,0.572,0.572
2111,414425.3,3,0,,,13,,,37.82855412,-122.2863267,-25.5177,5.77,75.834,,5.77,0.02,,,,1.5,0.8,0.13,0.3,0.07,0.16,99571.586,99574.655,1.3,100,0.579,0.579
2111,414425.4,3,0,,,13,,,37.82855541,-122.2863204,-25.5158,5.75,75.707,,5.75,-0.02,,,,1.5,0.8,0.12,0.28,0.07,0.16,99571.73,99574.798,1.4,100,0.571,0.571
2111,414425.5,3,0,,,13,,,37.82855669,-122.2863141,-25.5197,5.77,75.364,,5.77,-0.02,,,,1.5,0.8,0.15,0.33,0.07,0.16,99571.873,99574.942,1.5,100,0.574,0.574
2111,414425.6,3,0,,,13,,,37.82855797,-122.2863077,-25.5141,5.78,75.623,,5.78,0.07,,,,1.5,0.8,0.12,0.28,0.07,0.16,99572.015,99575.084,1.6,100,0.578,0.578
2111,414425.7,3,0,,,13,,,37.82855922,-122.2863014,-25.4969,5.78,75.584,,5.78,0.05,,,,1.5,0.8,0.13,0.29,0.08,0.16,99572.156,99575.224,1.7,100,0.574,0.574
2111,414425.8,3,0,,,13,,,37.8285605,-122.2862951,-25.5099,5.72,75.794,,5.72,-0.02,,,,1.5,0.8,0.12,0.27,0.08,0.16,99572.298,99575.366,0.8,100,0.573,0.573
2111,414425.9,3,0,,,13,,,37.82856175,-122.2862887,-25.4972,5.81,75.918,,5.81,0.07,,,,1.5,0.8,0.14,0.31,0.08,0.16,99572.438,99575.507,0.9,100,0.578,0.578
